Country,Cooperation_Breadth
Cassandra,2
Elizabeth,1
Omrane,2
Polona,2
Kristina,1
Jae Hyeung,1
Kristen,1
Pornsit,2
Laura,4
Alessandra,3
Ali Osman,2
Scott,2
Feng,3
Hao,4
Tanusree,1
Keston,2
Gail Lynn,1
Stefania,1
III,2
Kubilay,2
Asghar,2
Timothy Paul,1
Angelo,2
Rob,2
Lifeng,3
Stephan,1
Dirk,6
Toto,3
Brigitte,32
Abdulgawi Salim,33
Malta,20
Luigina,22
Jian,26
Marko,19
Juelin,2
Jiawei Sophia,2
Niels,4
Shenggang,3
Jan,5
Teri Elkins,1
Jimmy,2
Tianni,3
Clinton,4
Qi-tao,1
Nitika,2
Pritam,2
Sophie,2
Chun Keung,1
Saoure,1
Gokhan,2
Leon,2
So Young,1
Denton,2
Manuela,3
Svenja,1
Madelynn,1
Gyeonghwan,3
Deqiu,2
Fuxiu,2
Anthony,5
Cass,2
Tinghua,2
Kim Bartel,1
Benedetto Lorenzo,2
Thomas,2
Qatar,3
Dov,1
Kristine Velasquez,2
Niko,1
Renata,1
Jana,2
Sun Young,1
Michelle Xue,2
Kim,2
Andreas,16
Mirjam,2
Junsheng,2
Joy,1
Noman,3
Lixuan,1
Dalia,3
Livia,1
Heedong,1
Jiemiao,1
Ignacio,2
Sunyu,1
Achim,6
Sebastian,1
Renaud,2
Ishrat,1
Ghana,3
Tanja,1
Oliver,2
Ivy,1
Lulamile,3
Gina,4
Errol,1
Late,1
Jihyeon,1
Travis,1
Susana,1
Navneet,2
Quentin,1
Leo,2
Adi,1
Charalampos,3
Haozhi,1
O. Dorian,2
Matias,1
Jianhong,3
Kallol,1
Heungsik,3
Bangladesh,6
Jing,3
Shuang,1
Gerson Francis,2
Maira,2
Guangyong,2
Pascale,1
Tolga,1
Abdullah,1
Kareen,1
J. William,1
Chung-wen,4
Hsiu-Huei,3
Shalini,1
Tae Wan,1
Brooke Fisher,3
Duli,2
Khairul,1
Julan,3
Erin,3
Danny,1
Juliana Guedes,2
Liming,2
Santiago,1
Sally,2
JoAndrea,1
Devon,1
Anne Leonore,9
Chris Reinders,8
Elke Hindina,7
Malouke Esra,4
Emmeke Barbara,6
Gabriela,5
Monique,3
Sijing,1
Theresa,1
Gloria Xiaocheng,4
Paraskevas,2
Ayn,2
Leigh,1
BaoWen,3
Oyku,3
Kazakhstan,4
Luke,1
Deborah,2
Aimin,4
Premilla,1
Hojae,3
Dinah,1
Rachel,3
Petra,3
Vietnam,3
Won Yong,1
Jee Hyun,2
Changsu,4
Jong-Hun,2
Dong-Hyun,3
Uganda,1
ChungMing,2
Yuan,1
Shufeng,1
Victoria,1
Wanxian,1
Yi-Pin,1
Xiaohong,1
Jon,3
Nathalie,2
Alex,4
Ian,2
Harvinder,3
Monder,1
Maria del Mar Garcia,3
Nelarine,1
Silke,1
Lilian Soares,1
Nick,4
M. Kemal,3
Nan Young,1
Allan,4
Linda,1
Rosaria,1
Nicola,4
Adam,3
Salvador,2
Francois,2
Claudia,6
Peter,2
Jane Frecknall,1
Joakim,2
Elena,4
Susanne,1
Belaid,2
Emanuele,5
Marco,4
Alison,5
Gordon,1
M. Sandy,1
Niek,1
Chris,6
Caroline,6
Jeffery,2
Ros,1
Anis,2
Leire,2
Lori,2
Kleio,3
Dimitrios,5
Shenjiang,1
Mariateresa,2
Juan,6
Jenny,3
Carola,1
Julie,1
Juliette,1
Chieh-Peng,3
Annika,1
Andrea,10
Herbert,1
Lutz,1
Bogdan,2
Kostas,1
Mirella,2
Arifur,3
Denise,4
Mingzhu,1
Alasdair,1
Jeremy,1
Ace Volkmann,2
Janusz,1
Ho Kwong,3
Long-Zeng,2
Muhammad,3
Graham,1
Mike,1
Eduardo,4
Aly,3
Ataur Rahman,2
Omneya,1
Konstantina,1
Libya,1
Gillian,2
Kenneth,3
Markus,1
Amama,1
Fred Amofa,2
Deirdre,1
Ralf,1
Suzy,1
Dolf,2
Auke,3
Emiel,2
Ehsan,3
Pieter Jan,1
Joanne,2
Milena,2
Selma,1
Marylyn,1
Carmela,3
Lamberto,1
Juliane,2
Crawford,3
Ozlem,1
Maxwell,2
Lynne,1
Barbados,1
Neil,2
Narongsak,2
Stacey,1
Dayuan,5
Amr,3
Mehmet,1
Ben,1
Seongtae,1
Morocco,4
Mahmoud,3
Donna,3
Marius,1
Avi,3
Massimo,1
Mollie,3
Sareh,2
Cormac,4
Thorsten,2
Kelsy,1
Tomasz,1
Latvia,2
Layla,2
Bernd,3
Eleanor,1
Richard,1
Haseeb Ahmed,2
Charbel Jose Chiappetta,4
Arman,1
Alaa Mansour,3
Mohammed,5
Malu,1
Panagiota,1
Ester,2
Oluseyi,1
Thyra Uth,1
Tulin,1
Mustafa,2
Paula,2
Arsalan Mujahid,4
Daphne,1
Abdullah Hasan,3
Ogeday,2
Ahmed Mohammed Sayed,2
Finola,1
Tarek,1
Mohamed,2
E. Julie,1
Lilian,2
Mieke,4
Beatrice,6
Saskia,1
Homagni,1
Gunjan,2
Qin,2
Steve,1
Maria Francisca,3
Paulo Renato,2
Christiana,2
Siyi,2
Lee,2
Monomita,1
Monaco,2
Agnes,2
Chiara,2
Mai Chi,1
Marisa,1
Puneet,2
Othmar Manfred,1
Frederic,2
Daniele,3
Ilaria,2
Maarten,2
Melanie,3
Therese,1
Avshalom Madhala,1
Eran,3
Aleksandra,4
Ann-Louise,6
Ase Marie,5
Christiane Marie,2
Dana,2
Catharina,3
Birger Boutrup,3
Jang,1
Christian,7
Arne,2
Gro Ellen,2
Heidi von Weltzien,1
Moritz,5
Marcus,1
Alexander,10
Lars,3
Leif Atle,2
Kwame Ohene,3
Kristian,1
Clodia,1
Giacomo,1
Fabio,2
Giovanni Maria,1
Carlos,3
Daniela,3
Giuseppe,1
Arnaldo,1
Adelien,2
Klemens,1
Philippines,1
Irene,2
Angeles,1
Ladislao Luna,1
Enrique,6
Maria Dolores,1
Pablo,2
Sergio,1
Josep Maria,2
Marc,1
Francesc,1
Isabel,4
Claude,4
Rafael,1
Luis,1
Armenio,6
Juana,1
Jose-Manuel,1
Jose-Luis,2
Gregorio,3
Miriam,2
Pedro,2
Carmen,2
Francisco,2
Natalia,2
Ricardo,3
Ruth,1
Eleni,2
Mireia,1
Friederike,2
Amelia,1
Mette,2
Miguel,3
Jordi,3
Jose Atilano,1
Celia,1
Gustavo,2
Oscar,1
Patricia,2
Roger,1
M. Carmen,2
Manuel Carlos,1
Antonio,3
Amalia,3
Isabel-Maria,1
Diego,1
Begona,2
Lucas,2
Jukka,1
Guillermina,1
Dolors,1
Cristina,3
Lorea,1
Joaquin,2
Nataia,1
Alina Beattrice,2
Alejandro,2
Nuria,2
Pilar,1
Nieves,1
Ana,2
Almudena,2
Jorge,3
Don,3
Olivier,1
Rahul,1
Emilio,3
Marie-Christine,2
Angel,2
Maria del Mar,1
Armenia,4
Jose Luis,1
Shike,1
Roscoe Conan,1
Jernej,2
Mojca,1
Katarina Katja,1
Maja,1
Matej,1
Natasa,2
Dima,3
Ariane Berthoin,2
Florence,1
Cyrlene,1
Carine,1
Eliane,1
Bjoern,4
Antoinette,8
Arthur,3
Elisabeth,1
Christophe,1
Florian,2
Byungjin,4
Benedicte,1
Anastasia,4
Aurelien,2
Breeda,1
Carolina Serrano,3
Emmanuelle,2
Elisa,1
Carole,1
Clement,1
Armand,2
Blanche,1
Bernard,2
Berangere,2
Evelyne,1
Fotios,2
Fiona,1
Charbel Jose,2
Gerwin,1
Erik,3
Joele,1
Kenya,1
Katri,1
Ans,4
Luuk,1
Hans,3
Mijntje,1
Mari,3
Gerdien,1
Dendi,1
Marloes,1
Lammertjan,1
Hsin-Hsuan Meg,2
Kristel,1
Maiju,4
Franziska,1
Laury,2
Domenico,2
Joona,3
Lonneke,1
Nazim,1
Adriaan,2
Madelijne,1
Luminita,1
Marcel,1
Mieneke,2
Mikko,1
Armin Pircher,3
Jean-Pierre,1
Natalija,2
Desiree,2
Francesca,1
Maxim,1
Gunter,2
Mandi,1
Manon,1
Alexandro,1
Andranik,2
Dominik,1
Axel,2
Claudius,1
Dominika,2
Eva-Maria,2
Adeline,3
Christoph,2
Birte,1
Corinna,1
Friederike Sophie,1
Anna Lena,1
Anna-Lena,1
Rong-An,1
Ming-Tien,1
Chia-chen,2
Chin-ta,1
Chechen,2
Hong-Nan,1
Hsiang-Lin,1
Cheng-Li,1
Chi-Shiun,1
Shiu-Wan,1
Chieh-Yu,1
Ding-Yu,1
Chun-Hsi Vivian,2
Chia-Chin,1
Liang-Hung,1
Chun-Hsiung,1
Chun-Tuan,1
Long-Chuan,1
Shun-Pin,1
Pei-Chi,2
Hung-Chang,2
Audrey,3
Farai,3
Chellie,4
Ljiljana,2
Manuka,1
Karl,1
Lijijana,1
Kirsten,2
Ali,1
Frank,3
Krishna,2
Gabriel,1
Marie-Aude,1
Marjolein,1
Edwina,1
Marilyn,2
Jamie,2
Ali Iftikhar,2
Aamir Firoz,2
Marann,1
Ghulam,1
Jawad,1
Ajnesh,2
Florinda,2
Maria Ceu,1
Isabel Costa,1
Manuel Au-Yong,2
Irina,1
Joao,2
Eun-Kyoung,1
Moonkyu,1
Hyun Soon,1
Eun-Ju,2
Hyun Jun,1
Johan,4
Heung-Jun,1
Dongseop,3
Jay Heon,2
Jaywon,1
Chanhoo,1
Junha,2
Jaehyung,1
Kumju,1
Byungki,1
Jin Ho,1
Abdul Ghafar,2
Bayu Taufiq,1
Kok Wei,2
Amal Hayati,1
Andriyawan,2
Lavanya,1
Abdul,3
Kit-Chun Joanna,1
Haitao,2
JianAn,1
Jigao,2
Heng,3
Ho-Kong,1
BaoChun,1
Jiatao,1
Frederick,1
Noel Yee-Man,2
Dong-Hong,1
Pascal,2
Lijun,2
Meng,1
Kohyar,1
Chin-Shan,1
Long,2
Guifeng,1
Hua,1
Hong,1
Deyuan,2
Jianxin,1
Jun,1
Guangming,3
Jie,1
Jin-hui,3
Lijing,1
Haiying,1
Chu-Ding,2
Jin,1
Peixu,1
Ling,1
Junfang,2
Nathan,2
Junting,1
Aric Xu,1
Jeong-Bon,2
Haibin,3
Lan,2
Cong,2
Bao,2
Cathy Yang,4
Chenghao,3
Fangjun,2
Luying,1
Nianqi,2
Fue,1
Libing,2
Hongjin,1
Hongdan,2
Liuyang,1
Mijia,2
Fong,2
Chenqian,2
Lixin,1
Mingpeng,2
Kai,3
Jialing,1
Chen,3
Jialin,1
Elina,1
Anu,1
Anni-Kaisa,3
Kwong Sin,3
Remus,2
Sandy,1
Emmanuella,2
Sven,1
Julia Patrizia,2
Peppi-Emilia,1
Pratima,1
Paul Maurice,1
Susanna,2
Louis,2
Ethiopia,1
Samuel Petros,2
Maria Virginia,1
Philippe,2
Claus-Heinrich,1
Matthes,1
Sebastien,1
Franciska,2
Guido,1
Joerg,1
Isabelle,5
Colina,1
Edwin,2
Rea,1
Katrin,1
Susan,1
Simon,3
Karoline,1
Jean-Christophe,2
Katharina,2
Patrizia,1
Michele,2
Petr,2
Isaline,1
Ho Fai,4
Naomi,3
Esben Rahbek Gjerdrum,1
Anneli,1
Elfi,4
Gavin,1
Lode,1
Shaik Mahmood,1
Kosheek,1
Cherise,1
Obaa Akua,3
Smaranda,2
Fritz,3
Adang,2
Alice,2
Amlan,1
Anna Clare,2
Andrew,1
Adela,2
Burkard,1
Bouchra,3
Al-Karim,1
Alyson,1
Antje,1
Asma,2
Bianca,1
Ayesha,2
Babatunde,2
Bruno,1
Camille,2
Bonnie,1
Camelia,1
Geoff,2
Louise,1
Christine,1
Alvaro,3
Elizabeth Prior,2
Cornelia,1
Hannah,2
Jillian,1
Elias,1
Damodar,1
Bindu,2
G. Venkat,2
Ernesto,3
Chirag,1
Bibek,2
Mulyadi,2
Janice,1
Guel Selin,1
Meral,1
Semra,1
Bahtisen,2
Canan,1
Ayse Begum,1
Aysegul,2
Shouyu,1
Heather,1
Debbie,1
Leanne,1
Juhyun,1
Kate,1
Chaminda,1
Els,1
Xiaoshuang,1
Dessalegn,1
Grant,1
Sirui,1
Nadia,3
Prabashi,1
Christofer,2
Dewi,1
Uwe,1
Mario,2
Bin,1
Mohammad,1
Necati,1
Wentao,1
Quan,1
Zhi Xing,1
Shelagh,1
Xue,1
Xiao,2
Yaoshan,1
Yidong,1
Xiuyuan,1
Yuanyuan,1
Yuxiang,1
Orly,1
Itai,1
Maureen,1
G. Elijah,1
Real,2
Feten,1
Tunisia,1
Rania,2
Kais,1
Carrie,1
Dave,1
Devan,1
Mingzhi,1
Issam,2
Magalie,1
Dean,1
Kamel,1
Muneeb Ul Lateef,1
Irena,1
Fabiola,1
Iris,1
Bram,1
Luca,1
Ezequiel,2
Juergen,1
Jasmin,1
Prisca,1
Guli-Sanam,1
Hagen,1
Nikil,1
Meri,2
Jeff,2
Marjut,1
Katriina,2
Sanja,1
Jaakko,1
J. Tuomas,1
Fredrik,1
Heli,1
Ramiro,1
Raysa Geaquinto,1
Themin,1
Virginia,1
Pierre,1
Gwarlann,1
Sandrine,1
Katia,1
Subin,1
Nirosha Hewa,1
Serbia,1
Fariborz,1
