Country_1,Country_2,Cooperation_Count,Country_Pair,Total_Articles_Country_1,Total_Articles_Country_2,Int_ij,k_i,k_j,Sim_ij
Luxembourg,USA,1,"('Luxembourg', 'USA')",3,6439,5.1767872858104264e-05,3,499,0.0001859598811397857
Japan,USA,14,"('Japan', 'USA')",24,6439,0.0012683128850235544,19,499,0.0003657515110177772
Turkey,USA,78,"('Turkey', 'USA')",91,6439,0.010383156213254054,6,499,0.0018622534862845722
New Zealand,USA,56,"('New Zealand', 'USA')",146,6439,0.003335836629103047,36,499,0.0004309241794902326
U Arab Emirates,USA,14,"('U Arab Emirates', 'USA')",37,6439,0.0008226894389341974,6,499,0.0005241940210661591
Austria,USA,37,"('Austria', 'USA')",58,6439,0.0036657009280730035,53,499,0.00037229766048744393
Argentina,USA,2,"('Argentina', 'USA')",12,6439,5.1767872858104264e-05,9,499,0.00010736398743452608
Estonia,USA,20,"('Estonia', 'USA')",13,6439,0.004778572879209624,28,499,0.0005848167709123427
Sweden,USA,16,"('Sweden', 'USA')",119,6439,0.0003340985407985216,6,499,0.0003340499348662444
Nigeria,USA,22,"('Nigeria', 'USA')",16,6439,0.004697934461872962,20,499,0.000686101243271964
M. Tom,USA,4,"('M. Tom', 'USA')",1,6439,0.0024848578971890046,1,499,0.002231518573677428
Donald,USA,4,"('Donald', 'USA')",1,6439,0.0024848578971890046,2,499,0.0015779219157910419
George,USA,3,"('George', 'USA')",6,6439,0.00023295542786146918,9,499,0.00022775341071054202
Joshua,USA,1,"('Joshua', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
David,USA,8,"('David', 'USA')",29,6439,0.00034273902030193163,17,499,0.00020100508394098004
Beverly,USA,1,"('Beverly', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Charles,USA,4,"('Charles', 'USA')",3,6439,0.0008282859657296682,2,499,0.0009110136428421681
Christopher,USA,5,"('Christopher', 'USA')",5,6439,0.0007765180928715639,4,499,0.0006237284029745127
Manuel,USA,1,"('Manuel', 'USA')",3,6439,5.1767872858104264e-05,3,499,0.0001859598811397857
Jordan,USA,2,"('Jordan', 'USA')",9,6439,6.902383047747235e-05,9,499,0.00012397325409319046
Sandra,USA,2,"('Sandra', 'USA')",5,6439,0.00012424289485945023,4,499,0.00024949136118980513
Dennis,USA,2,"('Dennis', 'USA')",1,6439,0.0006212144742972511,2,499,0.0007889609578955209
Robert,USA,18,"('Robert', 'USA')",13,6439,0.0038706440321597956,5,499,0.0012455361630763597
John,USA,6,"('John', 'USA')",10,6439,0.000559093026867526,5,499,0.00047337657473731255
Marshall,USA,5,"('Marshall', 'USA')",2,6439,0.0019412952321789098,1,499,0.0019724023947388022
K. Praveen,USA,3,"('K. Praveen', 'USA')",2,6439,0.0006988662835844075,1,499,0.0011834414368432813
Bruce,USA,2,"('Bruce', 'USA')",3,6439,0.00020707149143241705,3,499,0.0003719197622795714
Gita,USA,1,"('Gita', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
R. Edward,USA,6,"('R. Edward', 'USA')",4,6439,0.001397732567168815,1,499,0.0016736389302580712
Anna-Maija,USA,1,"('Anna-Maija', 'USA')",4,6439,3.8825904643578196e-05,9,499,9.297994056989285e-05
Maria,USA,5,"('Maria', 'USA')",15,6439,0.0002588393642905213,9,499,0.0002400731742390336
Paul,USA,2,"('Paul', 'USA')",6,6439,0.00010353574571620853,4,499,0.00022775341071054202
Cyprus,USA,2,"('Cyprus', 'USA')",14,6439,4.437246244980365e-05,7,499,0.0001127087082707887
Simone,USA,3,"('Simone', 'USA')",3,6439,0.00046591085572293835,1,499,0.0009662758869107347
Anusorn,USA,2,"('Anusorn', 'USA')",1,6439,0.0006212144742972511,2,499,0.0007889609578955209
Mahesh,USA,2,"('Mahesh', 'USA')",2,6439,0.00031060723714862557,1,499,0.0007889609578955209
Sebnem,USA,3,"('Sebnem', 'USA')",3,6439,0.00046591085572293835,3,499,0.000557879643419357
Egypt,USA,34,"('Egypt', 'USA')",21,6439,0.008549094431995504,38,499,0.0006714566602687903
Sean,USA,3,"('Sean', 'USA')",3,6439,0.00046591085572293835,2,499,0.000683260232131626
Kevin,USA,1,"('Kevin', 'USA')",6,6439,2.5883936429052132e-05,4,499,0.00011387670535527101
Greece,USA,8,"('Greece', 'USA')",29,6439,0.00034273902030193163,13,499,0.00022985810741747202
Indonesia,USA,7,"('Indonesia', 'USA')",20,6439,0.00038049386550706633,14,499,0.00023337779863302993
Helen,USA,2,"('Helen', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Carolyn Strand,USA,2,"('Carolyn Strand', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Amit,USA,1,"('Amit', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Adele,USA,1,"('Adele', 'USA')",1,6439,0.00015530361857431278,3,499,0.00032209196230357823
Mukesh,USA,2,"('Mukesh', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Alan,USA,2,"('Alan', 'USA')",5,6439,0.00012424289485945023,4,499,0.00024949136118980513
Dasaratha,USA,2,"('Dasaratha', 'USA')",1,6439,0.0006212144742972511,2,499,0.0007889609578955209
Silvia,USA,4,"('Silvia', 'USA')",2,6439,0.0012424289485945023,2,499,0.001115759286838714
Francesco,USA,1,"('Francesco', 'USA')",4,6439,3.8825904643578196e-05,5,499,0.00012474568059490256
Jessica,USA,1,"('Jessica', 'USA')",2,6439,7.765180928715639e-05,1,499,0.00039448047894776047
Longinos,USA,1,"('Longinos', 'USA')",2,6439,7.765180928715639e-05,3,499,0.00022775341071054202
Lebanon,USA,12,"('Lebanon', 'USA')",39,6439,0.0005734287455051549,22,499,0.00022854836395026494
Jeanette,USA,1,"('Jeanette', 'USA')",2,6439,7.765180928715639e-05,1,499,0.00039448047894776047
Alina,USA,1,"('Alina', 'USA')",1,6439,0.00015530361857431278,3,499,0.00032209196230357823
Jennifer,USA,5,"('Jennifer', 'USA')",9,6439,0.0004313989404842022,7,499,0.00035143114237928813
Michelle,USA,4,"('Michelle', 'USA')",3,6439,0.0008282859657296682,1,499,0.001288367849214313
Ginger,USA,2,"('Ginger', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Nicole,USA,1,"('Nicole', 'USA')",2,6439,7.765180928715639e-05,2,499,0.0002789398217096785
Hungary,USA,14,"('Hungary', 'USA')",9,6439,0.003382167693396145,28,499,0.0004920035993310033
Chung-Leung,USA,2,"('Chung-Leung', 'USA')",1,6439,0.0006212144742972511,2,499,0.0007889609578955209
Curtis,USA,2,"('Curtis', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Costanza,USA,1,"('Costanza', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Jose,USA,1,"('Jose', 'USA')",7,6439,2.2186231224901826e-05,9,499,7.028622847585763e-05
Reyes,USA,1,"('Reyes', 'USA')",3,6439,5.1767872858104264e-05,2,499,0.00022775341071054202
Bill,USA,2,"('Bill', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Tim,USA,8,"('Tim', 'USA')",4,6439,0.0024848578971890046,2,499,0.0015779219157910419
J. Brooke,USA,2,"('J. Brooke', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Andres,USA,2,"('Andres', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Harrison,USA,2,"('Harrison', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Steven,USA,4,"('Steven', 'USA')",3,6439,0.0008282859657296682,2,499,0.0009110136428421681
Shane,USA,9,"('Shane', 'USA')",3,6439,0.004193197701506445,1,499,0.002898827660732204
Jack,USA,1,"('Jack', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Greg,USA,1,"('Greg', 'USA')",2,6439,7.765180928715639e-05,3,499,0.00022775341071054202
Samuel Michael,USA,3,"('Samuel Michael', 'USA')",2,6439,0.0006988662835844075,1,499,0.0011834414368432813
North Macedonia,USA,18,"('North Macedonia', 'USA')",6,6439,0.00838639540301289,17,499,0.0009942896847750832
G. Stoney,USA,2,"('G. Stoney', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Pakistan,USA,20,"('Pakistan', 'USA')",47,6439,0.0013217329240367045,19,499,0.000373374609038828
Daniel,USA,7,"('Daniel', 'USA')",9,6439,0.0008455419233490362,11,499,0.0003924830965998452
Eva,USA,1,"('Eva', 'USA')",5,6439,3.106072371486256e-05,6,499,0.00010185442169124013
Glen,USA,1,"('Glen', 'USA')",2,6439,7.765180928715639e-05,3,499,0.00022775341071054202
Ralph,USA,1,"('Ralph', 'USA')",2,6439,7.765180928715639e-05,2,499,0.0002789398217096785
Gregory,USA,6,"('Gregory', 'USA')",5,6439,0.001118186053735052,3,499,0.0008642634272605208
Scott John,USA,5,"('Scott John', 'USA')",2,6439,0.0019412952321789098,2,499,0.0013946991085483926
H. Kristl,USA,4,"('H. Kristl', 'USA')",1,6439,0.0024848578971890046,2,499,0.0015779219157910419
Catherine,USA,1,"('Catherine', 'USA')",4,6439,3.8825904643578196e-05,3,499,0.00016104598115178911
Ibrahim,USA,3,"('Ibrahim', 'USA')",1,6439,0.001397732567168815,1,499,0.0016736389302580712
Shaomin,USA,1,"('Shaomin', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Amanda,USA,4,"('Amanda', 'USA')",3,6439,0.0008282859657296682,5,499,0.0005761756181736806
Peru,USA,3,"('Peru', 'USA')",7,6439,0.00019967608102411643,3,499,0.00036521795637773946
Dan,USA,5,"('Dan', 'USA')",5,6439,0.0007765180928715639,9,499,0.0004158189353163419
Kiridaran,USA,1,"('Kiridaran', 'USA')",2,6439,7.765180928715639e-05,1,499,0.00039448047894776047
Margot,USA,3,"('Margot', 'USA')",1,6439,0.001397732567168815,1,499,0.0016736389302580712
Jacob,USA,2,"('Jacob', 'USA')",2,6439,0.00031060723714862557,3,499,0.00045550682142108404
Josh,USA,3,"('Josh', 'USA')",1,6439,0.001397732567168815,3,499,0.0009662758869107347
Mark,USA,3,"('Mark', 'USA')",3,6439,0.00046591085572293835,3,499,0.000557879643419357
Loc,USA,3,"('Loc', 'USA')",1,6439,0.001397732567168815,2,499,0.0011834414368432813
Ron,USA,2,"('Ron', 'USA')",2,6439,0.00031060723714862557,1,499,0.0007889609578955209
Cynthia,USA,5,"('Cynthia', 'USA')",4,6439,0.0009706476160894549,4,499,0.0006973495542741963
Michael,USA,3,"('Michael', 'USA')",8,6439,0.00017471657089610188,4,499,0.0002958603592108203
Brent,USA,1,"('Brent', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Ran,USA,1,"('Ran', 'USA')",3,6439,5.1767872858104264e-05,1,499,0.00032209196230357823
Colombia,USA,21,"('Colombia', 'USA')",17,6439,0.004028758575957173,35,499,0.0004802875472308556
Marcio de Oliveira,USA,1,"('Marcio de Oliveira', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Pallab,USA,1,"('Pallab', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
E. Holly,USA,4,"('E. Holly', 'USA')",2,6439,0.0012424289485945023,1,499,0.0015779219157910419
Hsing-Chau,USA,2,"('Hsing-Chau', 'USA')",1,6439,0.0006212144742972511,2,499,0.0007889609578955209
Sviatoslav,USA,1,"('Sviatoslav', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
K. Gregory,USA,2,"('K. Gregory', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Leigh Plunkett,USA,1,"('Leigh Plunkett', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Matthew,USA,6,"('Matthew', 'USA')",4,6439,0.001397732567168815,2,499,0.0011834414368432813
Jeroimo,USA,1,"('Jeroimo', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Monle,USA,2,"('Monle', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Jerry,USA,4,"('Jerry', 'USA')",3,6439,0.0008282859657296682,1,499,0.001288367849214313
Anna,USA,2,"('Anna', 'USA')",7,6439,8.87449248996073e-05,6,499,0.0001721653957105282
Ofelia,USA,6,"('Ofelia', 'USA')",2,6439,0.00279546513433763,1,499,0.0023668828736865626
Nicholas,USA,2,"('Nicholas', 'USA')",3,6439,0.00020707149143241705,3,499,0.0003719197622795714
Jeroen,USA,3,"('Jeroen', 'USA')",11,6439,0.00012706659701534683,6,499,0.00020601071128652148
Cedric,USA,2,"('Cedric', 'USA')",2,6439,0.00031060723714862557,3,499,0.00045550682142108404
Diana,USA,2,"('Diana', 'USA')",3,6439,0.00020707149143241705,4,499,0.00032209196230357823
Joan,USA,1,"('Joan', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Hugo,USA,1,"('Hugo', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
James,USA,18,"('James', 'USA')",10,6439,0.005031837241807734,6,499,0.0012963951408907813
Stephen,USA,2,"('Stephen', 'USA')",2,6439,0.00031060723714862557,1,499,0.0007889609578955209
Harald,USA,1,"('Harald', 'USA')",3,6439,5.1767872858104264e-05,2,499,0.00022775341071054202
Cheryl,USA,1,"('Cheryl', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Karen,USA,3,"('Karen', 'USA')",2,6439,0.0006988662835844075,2,499,0.0008368194651290356
Russell,USA,1,"('Russell', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Hsien Chun,USA,1,"('Hsien Chun', 'USA')",1,6439,0.00015530361857431278,4,499,0.0002789398217096785
I-Heng,USA,1,"('I-Heng', 'USA')",1,6439,0.00015530361857431278,3,499,0.00032209196230357823
Amber Y-P,USA,1,"('Amber Y-P', 'USA')",1,6439,0.00015530361857431278,5,499,0.00024949136118980513
Pam Scholder,USA,2,"('Pam Scholder', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Felix,USA,1,"('Felix', 'USA')",5,6439,3.106072371486256e-05,11,499,7.522447577287461e-05
Matthias,USA,1,"('Matthias', 'USA')",4,6439,3.8825904643578196e-05,3,499,0.00016104598115178911
Throstur Olaf,USA,1,"('Throstur Olaf', 'USA')",3,6439,5.1767872858104264e-05,2,499,0.00022775341071054202
Iceland,USA,1,"('Iceland', 'USA')",5,6439,3.106072371486256e-05,6,499,0.00010185442169124013
John Michael,USA,1,"('John Michael', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Roberto,USA,1,"('Roberto', 'USA')",3,6439,5.1767872858104264e-05,2,499,0.00022775341071054202
Cameroon,USA,1,"('Cameroon', 'USA')",5,6439,3.106072371486256e-05,7,499,9.429887085245946e-05
K. Kathy,USA,1,"('K. Kathy', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
S. Prakash,USA,9,"('S. Prakash', 'USA')",4,6439,0.003144898276129834,1,499,0.002510458395387107
H. Jack,USA,5,"('H. Jack', 'USA')",2,6439,0.0019412952321789098,2,499,0.0013946991085483926
G. Tyge,USA,8,"('G. Tyge', 'USA')",3,6439,0.003313143862918673,1,499,0.002576735698428626
Pramodita,USA,3,"('Pramodita', 'USA')",2,6439,0.0006988662835844075,1,499,0.0011834414368432813
Andre,USA,3,"('Andre', 'USA')",3,6439,0.00046591085572293835,5,499,0.0004321317136302604
Olubunmi,USA,1,"('Olubunmi', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Deanna,USA,1,"('Deanna', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Nora,USA,1,"('Nora', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Megan,USA,4,"('Megan', 'USA')",2,6439,0.0012424289485945023,3,499,0.0009110136428421681
Rui,USA,1,"('Rui', 'USA')",2,6439,7.765180928715639e-05,2,499,0.0002789398217096785
Dong-Jin,USA,1,"('Dong-Jin', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Haina,USA,2,"('Haina', 'USA')",1,6439,0.0006212144742972511,2,499,0.0007889609578955209
Sefa,USA,3,"('Sefa', 'USA')",1,6439,0.001397732567168815,1,499,0.0016736389302580712
Cam,USA,5,"('Cam', 'USA')",2,6439,0.0019412952321789098,4,499,0.0009862011973694011
Ryan,USA,5,"('Ryan', 'USA')",2,6439,0.0019412952321789098,1,499,0.0019724023947388022
Federica,USA,1,"('Federica', 'USA')",3,6439,5.1767872858104264e-05,4,499,0.00016104598115178911
Slovenia,USA,36,"('Slovenia', 'USA')",31,6439,0.006492693215235786,16,499,0.0009017832766583079
Amal,USA,1,"('Amal', 'USA')",3,6439,5.1767872858104264e-05,4,499,0.00016104598115178911
Lithuania,USA,18,"('Lithuania', 'USA')",10,6439,0.005031837241807734,20,499,0.0007100648621059689
Paulina Man Kei,USA,10,"('Paulina Man Kei', 'USA')",1,6439,0.015530361857431278,9,499,0.001859598811397857
Mauritius,USA,2,"('Mauritius', 'USA')",3,6439,0.00020707149143241705,3,499,0.0003719197622795714
Magdalena,USA,1,"('Magdalena', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Hoje,USA,9,"('Hoje', 'USA')",6,6439,0.0020965988507532225,3,499,0.0011834414368432815
Svetlana,USA,1,"('Svetlana', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Javier,USA,2,"('Javier', 'USA')",5,6439,0.00012424289485945023,5,499,0.00022315185736774282
Daejoong,USA,1,"('Daejoong', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Alyssa,USA,1,"('Alyssa', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Claus,USA,1,"('Claus', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Lauren,USA,3,"('Lauren', 'USA')",1,6439,0.001397732567168815,2,499,0.0011834414368432813
Lisa,USA,6,"('Lisa', 'USA')",5,6439,0.001118186053735052,4,499,0.0007484740835694153
Foo Nin,USA,2,"('Foo Nin', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Fernando,USA,2,"('Fernando', 'USA')",2,6439,0.00031060723714862557,3,499,0.00045550682142108404
Raymond,USA,2,"('Raymond', 'USA')",2,6439,0.00031060723714862557,1,499,0.0007889609578955209
Joe,USA,3,"('Joe', 'USA')",1,6439,0.001397732567168815,2,499,0.0011834414368432813
Jonathan,USA,3,"('Jonathan', 'USA')",2,6439,0.0006988662835844075,1,499,0.0011834414368432813
Raj,USA,2,"('Raj', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Praveen,USA,1,"('Praveen', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Rajiv,USA,1,"('Rajiv', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Raul,USA,1,"('Raul', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Barbara,USA,3,"('Barbara', 'USA')",6,6439,0.00023295542786146918,11,499,0.00020601071128652145
Pinar Celikkol,USA,2,"('Pinar Celikkol', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Kristen Bell,USA,6,"('Kristen Bell', 'USA')",2,6439,0.00279546513433763,1,499,0.0023668828736865626
Shuili,USA,1,"('Shuili', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
D. Jordan,USA,4,"('D. Jordan', 'USA')",2,6439,0.0012424289485945023,1,499,0.0015779219157910419
A. Wren,USA,1,"('A. Wren', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Oriol,USA,1,"('Oriol', 'USA')",2,6439,7.765180928715639e-05,2,499,0.0002789398217096785
Gary,USA,3,"('Gary', 'USA')",7,6439,0.00019967608102411643,2,499,0.0004472988190137535
Ronald,USA,1,"('Ronald', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Jia Fei,USA,1,"('Jia Fei', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Stefan,USA,2,"('Stefan', 'USA')",7,6439,8.87449248996073e-05,4,499,0.00021085868542757287
E. Guenter,USA,1,"('E. Guenter', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Cindy,USA,2,"('Cindy', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Philipp,USA,1,"('Philipp', 'USA')",4,6439,3.8825904643578196e-05,4,499,0.00013946991085483926
Dongjing,USA,2,"('Dongjing', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Mary,USA,1,"('Mary', 'USA')",3,6439,5.1767872858104264e-05,3,499,0.0001859598811397857
Janie Harden,USA,4,"('Janie Harden', 'USA')",1,6439,0.0024848578971890046,1,499,0.002231518573677428
Barjinder,USA,1,"('Barjinder', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Rebecca Toppe,USA,2,"('Rebecca Toppe', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Suzanne,USA,1,"('Suzanne', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Teppo,USA,1,"('Teppo', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Dorothee,USA,1,"('Dorothee', 'USA')",2,6439,7.765180928715639e-05,2,499,0.0002789398217096785
Olga,USA,3,"('Olga', 'USA')",3,6439,0.00046591085572293835,4,499,0.00048313794345536734
Derek,USA,1,"('Derek', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Trinidad Tobago,USA,1,"('Trinidad Tobago', 'USA')",8,6439,1.9412952321789098e-05,2,499,0.00013946991085483926
Raphie,USA,1,"('Raphie', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Julia,USA,1,"('Julia', 'USA')",2,6439,7.765180928715639e-05,2,499,0.0002789398217096785
Omid,USA,3,"('Omid', 'USA')",2,6439,0.0006988662835844075,1,499,0.0011834414368432813
Hermann,USA,1,"('Hermann', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
Edina,USA,1,"('Edina', 'USA')",1,6439,0.00015530361857431278,2,499,0.00039448047894776047
Stijn,USA,2,"('Stijn', 'USA')",2,6439,0.00031060723714862557,2,499,0.000557879643419357
Douglas,USA,2,"('Douglas', 'USA')",1,6439,0.0006212144742972511,1,499,0.001115759286838714
Subrata,USA,2,"('Subrata', 'USA')",2,6439,0.00031060723714862557,1,499,0.0007889609578955209
Jason,USA,4,"('Jason', 'USA')",4,6439,0.0006212144742972511,3,499,0.0006441839246071565
Stephanie,USA,1,"('Stephanie', 'USA')",2,6439,7.765180928715639e-05,1,499,0.00039448047894776047
Alina S. Hernandez,USA,1,"('Alina S. Hernandez', 'USA')",4,6439,3.8825904643578196e-05,7,499,0.00010542934271378644
Ruediger,USA,1,"('Ruediger', 'USA')",1,6439,0.00015530361857431278,1,499,0.000557879643419357
